"id","intent","utterance","answer"
22,"lokasi","bisa beritahu lokasi toko anda?","Adhitya Card memiliki dua alamat kantor

Jl Bakti No.11a, Pettarani
[ https://goo.gl/maps/n8mfu7fk7W3vm8vC8 ]

Jln.Muh.Yunus Bulurokeng Samping Tol Makassar
[ https://goo.gl/maps/swmvi9t1kMM4X3nW8 ]

Adhitya Card buka setiap hari
Jam Operasional:
Senin : 09.00-22.00
Selasa : 09.00-22.00
Rabu : 09.00-22.00
Kamis : 09.00-22.00
Jumat : 09.00-22.00
Sabtu : 09.00-22.00
Minggu : Tutup

Jika anda membutuhkan bantuan atau informasi lebih lanjut silahkan hubungi kami melalui pesan chat. Terima kasih😁"
23,"produk","apa produk yang tersedia?","Terdapat dua yaitu katalog produk dan custom produk.

1. Informasi Katalog Produk
2. Informasi Custom Produk"
24,"produk","jenis produk","Terdapat dua yaitu katalog produk dan custom produk.

1. Informasi Katalog Produk
2. Informasi Custom Produk"
25,"produk","lihat produk yang ada","Terdapat dua yaitu katalog produk dan custom produk.

1. Informasi Katalog Produk
2. Informasi Custom Produk"
26,"produk","undangan yang tersedia","Terdapat dua yaitu katalog produk dan custom produk.

1. Informasi Katalog Produk
2. Informasi Custom Produk"
27,"produk","jenis undangan","Terdapat dua yaitu katalog produk dan custom produk.

1. Informasi Katalog Produk
2. Informasi Custom Produk"
28,"pemesanan","Bagaimana cara memesan undangan pernikahan?","Pemesanan undangan sangat mudah! Berikut langkah-langkahnya:

1. Pilih desain undangan yang Anda sukai dari koleksi kami.
2. Hubungi tim kami melalui nomor telepon atau email yang tertera di situs kami.
3. Sampaikan pilihan desain, jumlah undangan, serta preferensi lainnya.
4. Kami akan memberikan penawaran biaya dan estimasi waktu pengerjaan.
5. Setelah Anda setuju dengan penawaran, kami akan memulai proses pengerjaan dan memberikan tahap persetujuan desain sebelum mencetak.
6. Setelah undangan selesai dicetak, kami akan mengatur pengiriman atau pengambilan.

Jangan ragu untuk menghubungi kami jika Anda memiliki pertanyaan lebih lanjut atau ingin memulai proses pemesanan."
29,"pemesanan","Saya ingin memesan undangan, bagaimana langkahnya?","Pemesanan undangan sangat mudah! Berikut langkah-langkahnya:

1. Pilih desain undangan yang Anda sukai dari koleksi kami.
2. Hubungi tim kami melalui nomor telepon atau email yang tertera di situs kami.
3. Sampaikan pilihan desain, jumlah undangan, serta preferensi lainnya.
4. Kami akan memberikan penawaran biaya dan estimasi waktu pengerjaan.
5. Setelah Anda setuju dengan penawaran, kami akan memulai proses pengerjaan dan memberikan tahap persetujuan desain sebelum mencetak.
6. Setelah undangan selesai dicetak, kami akan mengatur pengiriman atau pengambilan.

Jangan ragu untuk menghubungi kami jika Anda memiliki pertanyaan lebih lanjut atau ingin memulai proses pemesanan."
30,"pemesanan","Bagaimana proses pemesanan undangan?","Pemesanan undangan sangat mudah! Berikut langkah-langkahnya:

1. Pilih desain undangan yang Anda sukai dari koleksi kami.
2. Hubungi tim kami melalui nomor telepon atau email yang tertera di situs kami.
3. Sampaikan pilihan desain, jumlah undangan, serta preferensi lainnya.
4. Kami akan memberikan penawaran biaya dan estimasi waktu pengerjaan.
5. Setelah Anda setuju dengan penawaran, kami akan memulai proses pengerjaan dan memberikan tahap persetujuan desain sebelum mencetak.
6. Setelah undangan selesai dicetak, kami akan mengatur pengiriman atau pengambilan.

Jangan ragu untuk menghubungi kami jika Anda memiliki pertanyaan lebih lanjut atau ingin memulai proses pemesanan."
31,"pemesanan","Bagaimana cara pesan undangan?","Pemesanan undangan sangat mudah! Berikut langkah-langkahnya:

1. Pilih desain undangan yang Anda sukai dari koleksi kami.
2. Hubungi tim kami melalui nomor telepon atau email yang tertera di situs kami.
3. Sampaikan pilihan desain, jumlah undangan, serta preferensi lainnya.
4. Kami akan memberikan penawaran biaya dan estimasi waktu pengerjaan.
5. Setelah Anda setuju dengan penawaran, kami akan memulai proses pengerjaan dan memberikan tahap persetujuan desain sebelum mencetak.
6. Setelah undangan selesai dicetak, kami akan mengatur pengiriman atau pengambilan.

Jangan ragu untuk menghubungi kami jika Anda memiliki pertanyaan lebih lanjut atau ingin memulai proses pemesanan."
32,"kontak","informasi kontak","Untuk menghubungi layanan kami, anda dapat melakukan dengan beberapa cara yaitu:

*Melalui Whatsapp (WA)*
- Workshop : 082196676646
(Jln. Muh. Yunus Bulurokeng Samping Tol Makassar)

- Kantor Cabang : 081913121900 
(Jln. Bakti Raya No 11A, Pettarani)

*Melalui Sosial Media*
- Facebook : Percetakan Adhityacard
- Instagram : Percetakan Adhityacard
- Tiktok : Percetakan Adhityacard"
33,"kontak","bagaimana cara menghubungi layanan","Untuk menghubungi layanan kami, anda dapat melakukan dengan beberapa cara yaitu:

*Melalui Whatsapp (WA)*
- Workshop : 082196676646
(Jln. Muh. Yunus Bulurokeng Samping Tol Makassar)

- Kantor Cabang : 081913121900 
(Jln. Bakti Raya No 11A, Pettarani)

*Melalui Sosial Media*
- Facebook : Percetakan Adhityacard
- Instagram : Percetakan Adhityacard
- Tiktok : Percetakan Adhityacard"
34,"kontak","Bagaimana menghubungi customer service anda?","Untuk menghubungi layanan kami, anda dapat melakukan dengan beberapa cara yaitu:

*Melalui Whatsapp (WA)*
- Workshop : 082196676646
(Jln. Muh. Yunus Bulurokeng Samping Tol Makassar)

- Kantor Cabang : 081913121900 
(Jln. Bakti Raya No 11A, Pettarani)

*Melalui Sosial Media*
- Facebook : Percetakan Adhityacard
- Instagram : Percetakan Adhityacard
- Tiktok : Percetakan Adhityacard"
35,"minimal order","Apa minimal order untuk undangan?","Tidak ada minimal order untuk undangan kami. Anda dapat melakukan pemesanan sesuai dengan kebutuhan Anda, mulai dari jumlah kecil hingga besar."
36,"minimal order","Apakah ada jumlah minimal untuk memesan?","Tidak, kami tidak memiliki jumlah minimal untuk pemesanan. Anda dapat memesan undangan sebanyak yang Anda butuhkan tanpa batasan."
37,"minimal order","Berapa jumlah minimum undangan yang harus saya pesan?","Kami tidak menetapkan jumlah minimum untuk pesanan undangan. Silakan pesan sesuai dengan kebutuhan acara Anda."
38,"minimal order","Apakah ada batasan jumlah undangan yang dapat saya pesan?","Tidak ada batasan jumlah undangan yang dapat Anda pesan. Kami melayani pesanan dalam berbagai jumlah sesuai dengan keinginan Anda."
39,"minimal order","Berapa jumlah minimum undangan yang harus saya pesan?","Kami memberikan fleksibilitas tanpa jumlah minimum pesanan. Anda dapat memesan undangan sesuai dengan kebutuhan acara Anda."
40,"waktu pengerjaan","berapa lama waktu pengerjaan","Waktu pengerjaan undangan dapat bervariasi tergantung pada faktor-faktor seperti desain yang dipilih, jumlah undangan, dan kompleksitasnya. Pada umumnya, pengerjaan undangan memakan waktu antara 1-3 minggu setelah desain disetujui. Namun, kami juga dapat membicarakan opsi percepatan pengerjaan jika Anda membutuhkannya. kami dapat memberikan estimasi waktu pengerjaan:
 1.undangan blangko 3-4 hari
 2.undangan Custom 7 hari  setelah desain fix"
 41,"waktu pengerjaan","Berapa lama waktu yang dibutuhkan untuk pengerjaan undangan?","Waktu pengerjaan undangan dapat bervariasi tergantung pada faktor-faktor seperti desain yang dipilih, jumlah undangan, dan kompleksitasnya. Pada umumnya, pengerjaan undangan memakan waktu antara 1-3 minggu setelah desain disetujui. Namun, kami juga dapat membicarakan opsi percepatan pengerjaan jika Anda membutuhkannya. kami dapat memberikan estimasi waktu pengerjaan:
 1.undangan blangko 3-4 hari
 2.undangan Custom 7 hari  setelah desain fix"
 42,"waktu pengerjaan","Saya ingin tahu berapa lama pengerjaan undangan biasanya","Waktu pengerjaan undangan dapat bervariasi tergantung pada faktor-faktor seperti desain yang dipilih, jumlah undangan, dan kompleksitasnya. Pada umumnya, pengerjaan undangan memakan waktu antara 1-3 minggu setelah desain disetujui. Namun, kami juga dapat membicarakan opsi percepatan pengerjaan jika Anda membutuhkannya. kami dapat memberikan estimasi waktu pengerjaan:
 1.undangan blangko 3-4 hari
 2.undangan Custom 7 hari  setelah desain fix"
 43,"waktu pengerjaan","Berapa waktu yang diperlukan untuk mencetak undangan pernikahan?","Waktu pengerjaan undangan dapat bervariasi tergantung pada faktor-faktor seperti desain yang dipilih, jumlah undangan, dan kompleksitasnya. Pada umumnya, pengerjaan undangan memakan waktu antara 1-3 minggu setelah desain disetujui. Namun, kami juga dapat membicarakan opsi percepatan pengerjaan jika Anda membutuhkannya. kami dapat memberikan estimasi waktu pengerjaan:
 1.undangan blangko 3-4 hari
 2.undangan Custom 7 hari  setelah desain fix"
 44,"waktu pengerjaan","lama waktu cetak","Waktu pengerjaan undangan dapat bervariasi tergantung pada faktor-faktor seperti desain yang dipilih, jumlah undangan, dan kompleksitasnya. Pada umumnya, pengerjaan undangan memakan waktu antara 1-3 minggu setelah desain disetujui. Namun, kami juga dapat membicarakan opsi percepatan pengerjaan jika Anda membutuhkannya. kami dapat memberikan estimasi waktu pengerjaan:
 1.undangan blangko 3-4 hari
 2.undangan Custom 7 hari  setelah desain fix"
 45,"pembayaran","Apa saja metode pembayaran yang dapat digunakan?","Kami menyediakan beberapa metode pembayaran yang dapat Anda pilih:

1. Bayar langsung ke toko
 2. bisa melakukan pembayaran ke rekening berikut:

 - xxxxxxxxx
 A.n Adithya Card (BRI)"
 46,"pembayaran","Bagaimana saya dapat melakukan pembayaran?","Kami menyediakan beberapa metode pembayaran yang dapat Anda pilih:

1. Bayar langsung ke toko
 2. bisa melakukan pembayaran ke rekening berikut:

 - xxxxxxxxx
 A.n Adithya Card (BRI)"
 47,"pembayaran","Apakah ada opsi pembayaran yang tersedia?","Kami menyediakan beberapa metode pembayaran yang dapat Anda pilih:

1. Bayar langsung ke toko
 2. bisa melakukan pembayaran ke rekening berikut:

 - xxxxxxxxx
 A.n Adithya Card (BRI)"
 48,"pembayaran","Apa saja metode pembayaran yang dapat digunakan?","Kami menyediakan beberapa metode pembayaran yang dapat Anda pilih:

1. Bayar langsung ke toko
 2. bisa melakukan pembayaran ke rekening berikut:

 - xxxxxxxxx
 A.n Adithya Card (BRI)"
 49,"pembayaran","Bagaimana saya dapat melakukan pembayaran?","Kami menyediakan beberapa metode pembayaran yang dapat Anda pilih:

1. Bayar langsung ke toko
 2. bisa melakukan pembayaran ke rekening berikut:

 - xxxxxxxxx
 A.n Adithya Card (BRI)"
 50,"pembayaran","Apakah ada opsi pembayaran yang tersedia?","Kami menyediakan beberapa metode pembayaran yang dapat Anda pilih:

1. Bayar langsung ke toko
 2. bisa melakukan pembayaran ke rekening berikut:

 - xxxxxxxxx
 A.n Adithya Card (BRI)"
 51,"informasi custom","informasi custom","Untuk melakukan custom desain, silahkan lihat contoh desain kami melalui katalog 
📸 [ Instagram: @undangan_adhityacard ]

Untuk desainnya bisa dilakukan sesukanya dengan konsultasi pada admin kami."
52,"informasi custom","apakah bisa melakukan custom undangan","Untuk melakukan custom desain, silahkan lihat contoh desain kami melalui katalog 
📸 [ Instagram: @undangan_adhityacard ]

Untuk desainnya bisa dilakukan sesukanya dengan konsultasi pada admin kami."
53,"informasi custom","kalau desain sendiri bisa","Untuk melakukan custom desain, silahkan lihat contoh desain kami melalui katalog 
📸 [ Instagram: @undangan_adhityacard ]

Untuk desainnya bisa dilakukan sesukanya dengan konsultasi pada admin kami."
54,"informasi katalog","informasi katalog","Berikut informasi katalog kami, untuk lebih jelas ketik salah satu kode produk yang ingin dilihat"
55,"informasi katalog","lihat katalog","Berikut informasi katalog kami, untuk lebih jelas ketik salah satu kode produk yang ingin dilihat"
56,"pengiriman","Bagaimana pengiriman?","Untuk pengiriman ke daerah menggunakan expedisi, untuk biaya pengiriman bisa dibayarkan ditujuan sementara untuk pengiriman ke Makassar Gratis Ongkir"
57,"pengiriman","bagaimana proses kirim?","Untuk pengiriman ke daerah menggunakan expedisi, untuk biaya pengiriman bisa dibayarkan ditujuan sementara untuk pengiriman ke Makassar Gratis Ongkir"
58,"pengiriman","berapa biaya pengiriman?","Untuk pengiriman ke daerah menggunakan expedisi, untuk biaya pengiriman bisa dibayarkan ditujuan sementara untuk pengiriman ke Makassar Gratis Ongkir"
